id,summarization,tokens,topics,description
1774509,,[],[],imitates ios native scrolling in javascript
5808540,,[],[],real time communication library using animated gifs as a transport
885487,,[],[],deprecated realtime server push with node websockets and comet
4341615,,[],[],a query analyzer that parses redis monitor command for counter and timing stats about query patterns
1101567,,[],[],asynchronous flow control in with javascript
4695476,,[],[],css d lighting engine
1705750,,[],[],css animation based image transitions
1918500,,[],[],photoshop style filter interface for uiimage class on ios to make instagram style images
3995231,,[],[],prettykit for ios is a small set of new widgets and uikit subclasses that gives you a deeper uikit customization you will be able to change their background add etc
1145302,,[],[],locker the me platform
919872,,[],[],stitch your commonjs modules together for the browser
3310124,,[],[],a library for javascript that allows easy page parallaxing
4495473,,[],[],forked from https and and chnroutes googlecode com and
722962,,[],[],this is the old please use https and and github com and couchpotato and couchpotatoserver
3130318,,[],[],detector is a php and javascript based browser and feature detection library that can adapt to new devices browsers on its own without the need to pull from a central database of browser information
861450,,[],[],a boilerplate to quickly get projects going it gives the developer a clean slate to start with while bundling enough useful features
2095417,,[],[],deprecated grid view library for ios
5622547,,[],[],cache and load static files from local storage
3016789,,[],[],indexing engine for indextank
1978022,,[],[],code to accompany the tutorial in smashing magazine
1270516,,[],[],maptail is a realtime map view of geoip data
386680,,[],[],debounced and throttled resize events for jquery
4826,,[],[],ruby like hybrid oop and functional programming language for the erlang vm
1404348,,[],[],user authentication plugin for mongoose nodejs orm
1730874,,[],[],a framework for writing web applications in clojure
3812675,,[],[],expose style navigation for ios apps
2289234,,[],[],beautiful ide for node js
2538365,,[],[],virtually infinite loop able horizontal carousel
5131769,,[],[],ios framework for easily adding camera with filters
3273198,,[],[],client side pagination with jquery and css
6027515,,[],[],crumble makes it easy to create feature tours in your website or app
2629035,,[],[],and asynchronous embed code for third party javascript delivery
5741283,,[],[],tilt controlled images
3460931,,[],[],a minimalistic menu bar time tracker for macos
1078951,,[],[],a jquery ui widget for contextual pagination
3164347,,[],[],uitableviewcontroller with customizable overlay panel while inspired by path
1308518,,[],[],self two file h and m iphone and ipad components that are dead easy to drop into your projects
1117337,,[],[],a set of objective c additions and macros that helps you write code more quickly
7036331,,[],[],snoopy a distributed tracking and data interception framework
3759388,,[],[],android scrollbarpanel allows to attach a view to a scroll indicator like it s done in path  
5977510,,[],[],google map is back to ios 
6380055,,[],[],a convinience library for working with all versions of the android preference package from api v and up
1066410,,[],[],an activemodel compliant persistence framework for ruby that uses git for versioning and remote syncing
3703850,,[],[],spine and coffeescript example gui designer
4296902,,[],[],a demo of how you can process photos leveraging the ndk
5670257,,[],[],a jquery plugin using css filters to replicate the tilt shift effect
4129087,,[],[],a beautiful vertical timeline made with tabletop isotope js handerlbarz js a collaboration between balance media and wnyc and john keefe
3151210,,[],[],peer to peer filesharing in pure javascript with node js and socket io
1856148,,[],[],core library for gladius
1234202,,[],[],upgrade jquery s animate method to use css transitions in modern browsers
147180,,[],[],generate syntax highlighted slides from markdown
2027844,,[],[],safari plugin to add chrome like omnibar in safari
2739862,,[],[],base libraries for c and and development
2691381,,[],[],instant webpage just add creativity a mashup of html boilerplate and bootstrap
539795,,[],[],opengl es view for animating a view transition
3558003,,[],[],a clojurescript version of bret victor s editable game
1474361,,[],[],jquery plugin for print preview modal window
1948971,,[],[],reload rails code in development mode only when change is deteced
4944763,,[],[],the fruit ninja game by js
5129771,,[],[],very concise notes on machine learning and statistics
3484065,,[],[],css d renderer for three js
3919729,,[],[],a pure python win debugger interface
4967626,,[],[],r is a map reduce engine written in python using redis as a backend
4257391,,[],[],a different github timeline
1365656,,[],[],a distributed computing framework for haskell
1829561,,[],[],a micro framework or a collection of helpful utilities for common javascript tasks
1405657,,[],[],cli and npm package for jshint
4913896,,[],[],bwstatusbaroverlay is a custom status bar overlay window
2118838,,[],[],use redis to make your ruby objects likeable
3244037,,[],[],code drawn appkit hud interface elements
2255763,,[],[],access attribute values without instantiating activerecord objects
1718284,,[],[],python service microframework
2087557,,[],[],fusker is a static http server that provides optional security features for http and socket io
6229661,,[],[],pull to refresh feature for mobile safari with native scrolling
2324364,,[],[],embedded key value java database
2131587,,[],[],cpython compiled to js using emscripten
2062671,,[],[],simple clustering api for mkmapview
3679708,,[],[],python script to automate document conversions using libreoffice and openoffice org
6850782,,[],[],tweak values in javascript without having to reload
5295246,,[],[],a magic pipe in the sky for the command line
5433320,,[],[],human powered data analysis with mechanical turk
5886118,,[],[],use google maps for mobile s transit directions in ios s maps app
2404981,,[],[],backup daily and weekly and monhtly all your mysql databases to amazon s via sh and scmd
3833804,,[],[],adds a handy trace flag to the console object to prepend the file and line number
4240833,,[],[],prevents you from being on reddit or facebook all day
3171158,,[],[],following googlecode project crypto provide standard and secure cryptographic algorithms for nodejs support sha sha base
3733772,,[],[],interactive sketchpad
5008346,,[],[],a collection of memory allocators
1636585,,[],[],ninja user the jquery plugin for lethal interaction
756184,,[],[],javascript layout algorithms
2902479,,[],[],a circular menu jquery inspired by the path application for android and ios
868820,,[],[],learn zeromq using ruby
2224553,,[],[],a weekly screencast series on titanium development topics
1107788,,[],[],abandoned the scala applewood bacon to jackson s chicken breast json cordon bleu
985534,,[],[],flickrbomb provides an easy way for you to fill your prototypes with relevant and not just those dull gray placeholder images
99778,,[],[],sass port of  gs as part of the compass stylesheet framework
4879370,,[],[],rss reader written using angularjs
2273305,,[],[],integration testing ftw
1061668,,[],[],clr net mono binding for mq
2584736,,[],[],zeromq like sockets in the browser used for building gateways and generally applying zeromq philosophy to browser messaging
4004586,,[],[],please use its successor background size polyfill
3260287,,[],[],websocket based multiplayer architecture for node js
6943283,,[],[],magrackcollectionview
809383,,[],[],a flexible static site generator for node js
1575368,,[],[],css patterns for compass
3804836,,[],[],don t be shy take your data for a dance
4470842,,[],[],men flotante que trata de imitar el ofrecido por la app sparrow para ios
1022930,,[],[],deprecated read only this repo exists for gpl compliance only cloudstack development has moved to the asf see http and and cloudstack apache org and
3998899,,[],[],an animated gif encoder for without any native code required based on the jme encoder posted here http and and www jappit com and blog and  and  and  and jme animated gif encoder and with the addition of dirty rectangle support
971017,,[],[],a collection of libraries and demos for and windows phone 
4357261,,[],[],a custom ios rate view control similar to the one used in apple s app store
5015528,,[],[],random forest implementation for javascript supports arbitrary weak learners includes interactive demo
801991,,[],[],server side the data aggregation engine
4010984,,[],[],d visualization of earth using map tiles for ios
2834755,,[],[],tiny but monstrous tiling window manager
4084859,,[],[],rucksack js arranges your elements into a proper beautiful arrangement in a given width constraint
702722,,[],[],page optimizations done at the rack level
5546860,,[],[],the code i used to get in the top  in the netflix prize
2102337,,[],[],xpc simplified for cocoa deal with ns objects instead of
823619,,[],[],a game of tank rewritten for modern browsers
3923701,,[],[],cocoa touch library for finding information on an ios device s owner inspired by square s ios app
3400173,,[],[],prezi clone in and svg can use different animation for example impress js i no longer own awwation com
2027903,,[],[],like erlang s but trendy and new
2657388,,[],[],a blazingly fast async http server written in c and and
4715434,,[],[],a simple workaround to the annoying problem of keyboard lag
3078936,,[],[],my attempt to implement metro theme for jquery mobile
2154246,,[],[],html port of the indie platform game emberwind
3163719,,[],[],a scala client for cassandra
107201,,[],[],laterdude is a small calendar helper with in support
3647196,,[],[],area of interest library
60160,,[],[],a collection of useful rake tasks
3966091,,[],[],a websocket based tethering solution for ios devices
6050083,,[],[],use google analytics for rails app performance monitoring
2457490,,[],[],create live coding html based presentations and workshops
4835231,,[],[],pipe is ifttt for websites and webservices linked to webservices and smartphones and desktops with advanced filters
5253890,,[],[],add animated text typing to any element
3032245,,[],[],a visual ios testing framework
3167725,,[],[],distribute is a middleware based api to expressively perform request routing and load balancing in node js
2520417,,[],[],webgl renderer for source engine levels
1621910,,[],[],solarized dark color implemented for netbeans
2864256,,[],[],blocks are to functions as adynamicdelegate is to delegates deprecated mirror
4961688,,[],[],available for contract work a boilerplate for building your own subscription site with stripe integration or stripe subscription service or saas site or membership site or billing service subscribely was built for my own subscription service integrating stripe sockclub com
728723,,[],[],the jquery plugin with the academic name and the pragmatic methods
4946686,,[],[],exercises for the stanford and coursera machine learning class
1044648,,[],[],a collection of rake tasks for managing and distributing ios ad hoc builds
1276011,,[],[],a css html audio player with a circular seekable progress bar and complete fallback
1598331,,[],[],ruby like mixin functionality for objective c programs
1025854,,[],[],keep safe from firesheep
5048119,,[],[],desant is an open source landing page system
3084706,,[],[],messaging re invented
3257219,,[],[],vppdropdown is an ios library that allows you to create dropdown like menus in a table as seen in old twitter  for iphone
2719339,,[],[],doorway transition in coreanimation ios
6735161,,[],[],routes configuration that loads controller and directives using requirejs files are loaded in parallel when user changes the location and are displayed in angular s ngview
2719071,,[],[],arbitrary precision javascript biginteger and bigdecimal real numbers
3953399,,[],[],xc computing standards this repository is intended to contain as many relevant and popular standards as possible
5619389,,[],[],slice up log files into the time filtered chunks you want
3817748,,[],[],a python script that prepairs and installs a raspberry pi compatiable distro to an sd card
3247836,,[],[],vppmap library for ios simplifies the creation and management of a featuring automatic annotations management with their views and map region centering based on the current visible automatic annotation easy management of pins dropped by etc
2172411,,[],[],a javascript library for audio output
2016296,,[],[],a web browser like tab bar implementation for ios and
5227200,,[],[],solution to facebook s link prediction contest on kaggle
867510,,[],[],a node js cucumber implementation with a few extra asynchronous keywords supports  and languages and exports to vowsjs stubs
4732781,,[],[],a popover controller for android tablets it s an easy solution to simulate an ios uipopovercontroller
1939825,,[],[],a phonegap plugin to open and use sqlite databases on ios
1759567,,[],[],send and receive bitcoins from your android phone
2355171,,[],[],social code collaboration made simple
5969383,,[],[],lazy  scroller for desktop and mobile
5885224,,[],[],this project is a gesture driven ios to do list application modelled on the iphone clear application
298256,,[],[],mongodb python logging handler python centralized logging made easy
897283,,[],[],a view source and page info bookmarklet for mobile browsers
5709465,,[],[],python database adaptor for and other watery databases
3655960,,[],[],slides from clojure and west 
6211968,,[],[],diablo server status notification a restful api demo powered by tornado
3402491,,[],[],display youtube urls in a mpmovieplayercontroller
2479698,,[],[],storm esper integration experiment
